YEAR	DOY	HOUR	PAR	Swdown	TEMP	SoilT	RH	RAIN	WIND	PRESSURE	aCO2_AW	SWC
2009	20	11.5	117.20	27.62	-0.17	3.36	94.75	0.00	3.44	92,886.94	387.87	24.22
2009	21	11.5	178.06	44.27	-0.10	3.39	91.93	0.00	3.63	93,053.33	387.87	24.38
2009	22	11.5	176.69	46.43	-1.02	3.26	86.06	0.00	2.62	93,137.04	387.87	24.21
2009	23	11.5	203.75	52.28	-2.29	2.48	84.32	0.00	2.52	93,006.38	387.87	24.01
2009	24	11.5	175.02	45.97	-3.66	2.08	87.51	0.00	1.91	92,990.07	387.87	23.84
2009	25	11.5	155.38	41.40	-3.56	2.10	91.91	0.00	2.10	93,194.63	387.87	23.72
2009	26	11.5	177.55	47.02	-3.51	2.13	88.69	0.00	2.35	92,981.46	387.87	23.63
2009	27	11.5	111.85	29.27	-3.43	2.13	85.35	0.00	2.64	93,018.91	387.87	23.66
2009	28	11.5	220.78	55.22	-2.34	2.07	80.92	0.00	2.45	93,039.73	387.87	23.61
2009	29	11.5	213.74	50.31	-2.85	2.07	83.55	0.00	3.10	92,932.63	387.87	23.56
2009	30	11.5	213.70	58.40	-2.80	2.10	88.01	0.00	2.89	93,145.46	387.87	23.50
2009	31	11.5	190.43	52.40	-2.96	1.70	86.96	0.00	2.43	93,247.63	387.87	23.34
2009	32	11.5	183.43	54.48	-2.12	1.82	88.43	0.00	3.20	93,070.00	387.87	23.20
2009	33	11.5	214.97	59.53	-2.30	1.86	89.59	0.00	2.45	93,245.65	387.87	23.34
2009	34	11.5	234.67	68.64	-2.21	2.00	86.63	0.00	2.33	93,455.79	387.87	23.38
2009	35	11.5	266.81	72.65	-1.47	2.08	83.47	0.00	2.62	93,457.85	387.87	23.36
2009	36	11.5	262.01	66.78	-1.23	2.32	86.55	0.00	3.24	93,253.49	387.87	23.63
2009	37	11.5	298.00	74.44	-0.32	2.79	83.18	0.00	2.64	93,096.41	387.87	23.75
2009	38	11.5	232.82	58.63	-0.47	2.87	83.52	0.00	2.84	93,088.24	387.87	23.70
2009	39	11.5	237.85	55.21	-1.26	2.73	81.39	0.00	3.37	93,012.74	387.87	23.77
2009	40	11.5	379.06	92.49	-1.59	2.68	82.08	0.00	2.67	93,178.66	387.87	23.68
2009	41	11.5	294.99	80.35	-1.87	2.78	79.20	0.00	3.10	93,103.88	387.87	23.70
2009	42	11.5	296.04	70.49	-2.04	2.97	82.57	0.00	3.09	93,077.54	387.87	23.58
2009	43	11.5	256.53	71.33	-2.07	3.08	83.10	0.00	2.95	93,139.25	387.87	23.73
2009	44	11.5	260.10	75.39	-2.41	2.95	83.30	0.00	2.96	93,150.11	387.87	23.57
2009	45	11.5	288.69	75.17	-1.47	3.03	81.12	0.00	1.99	93,061.88	387.87	23.47
2009	46	11.5	243.15	67.30	-1.15	3.04	88.61	0.00	2.80	92,985.79	387.87	23.48
2009	47	11.5	310.20	77.20	-1.01	2.81	86.97	0.00	2.39	93,069.06	387.87	23.74
2009	48	11.5	298.22	76.67	-0.89	2.76	86.55	0.00	2.26	93,050.08	387.87	23.55
2009	49	11.5	403.07	98.29	-0.25	2.91	81.44	0.00	2.11	93,065.23	387.87	23.50
2009	50	11.5	357.10	85.38	0.20	3.37	79.12	0.00	2.41	92,837.40	387.87	23.67
2009	51	11.5	378.60	96.53	-0.07	3.49	82.60	0.00	2.03	92,966.65	387.87	23.77
2009	52	11.5	348.82	83.90	0.38	3.49	83.69	0.00	2.27	92,983.86	387.87	24.00
