date,year_dec,doy,modisvar,meandoy,data_loess,spline,interpl,sgfiltered,modisvar_interpol
19/06/12,2012.464481,171,0.7,0.696666667,0.693189617,0.707816881,0.7,0.695139301,0.707816881
20/06/12,2012.467213,NA,NA,NaN,0.693162613,0.709234968,0.69,0.697417156,0.709234968
21/06/12,2012.469945,NA,NA,NaN,0.692974387,0.710523158,0.68,0.698488188,0.710523158
22/06/12,2012.472678,NA,NA,NaN,0.692722459,0.711686139,0.67,0.6982597,0.711686139
23/06/12,2012.47541,175,0.66,0.636666667,0.692504349,0.712728603,0.66,0.698159868,0.712728603
24/06/12,2012.478142,NA,NA,NaN,0.692417576,0.713655237,0.665,0.697916317,0.713655237
25/06/12,2012.480874,NA,NA,NaN,0.692559659,0.714470732,0.67,0.697257809,0.714470732
26/06/12,2012.483607,NA,NA,NaN,0.693028118,0.715179777,0.675,0.697696947,0.715179777
27/06/12,2012.486339,179,0.68,0.678571429,0.693920474,0.715787061,0.68,0.698429183,0.715787061
28/06/12,2012.489071,NA,NA,NaN,0.695375975,0.716297274,0.68375,0.69970962,0.716297274
29/06/12,2012.491803,NA,NA,NaN,0.697399503,0.716715105,0.6875,0.701799588,0.716715105
30/06/12,2012.494536,NA,NA,NaN,0.699887024,0.717045245,0.69125,0.703345999,0.717045245
01/07/12,2012.497268,NA,NA,NaN,0.702734504,0.717292381,0.695,0.705188226,0.717292381
02/07/12,2012.5,NA,NA,NaN,0.70583791,0.717461204,0.69875,0.707114487,0.717461204
03/07/12,2012.502732,NA,NA,NaN,0.709093207,0.717556403,0.7025,0.708915264,0.717556403
04/07/12,2012.505464,NA,NA,NaN,0.712396361,0.717582667,0.70625,0.711112596,0.717582667
05/07/12,2012.508197,187,0.71,0.69125,0.715643338,0.717544687,0.71,0.712371288,0.717544687
06/07/12,2012.510929,NA,NA,NaN,0.718730105,0.71744715,0.7225,0.712892364,0.71744715
07/07/12,2012.513661,NA,NA,NaN,0.721552627,0.717294748,0.735,0.712873451,0.717294748
08/07/12,2012.516393,NA,NA,NaN,0.72400687,0.717092169,0.7475,0.712508777,0.717092169
09/07/12,2012.519126,191,0.76,0.674375,0.725988801,0.716844103,0.76,0.712988063,0.716844103
10/07/12,2012.521858,NA,NA,NaN,0.727465305,0.716555239,0.7375,0.714290641,0.716555239
11/07/12,2012.52459,NA,NA,NaN,0.728508914,0.716230267,0.715,0.716400938,0.716230267
12/07/12,2012.527322,NA,NA,NaN,0.729174059,0.715873876,0.6925,0.718741251,0.715873876
13/07/12,2012.530055,195,0.67,0.674,0.729515172,0.715490755,0.67,0.720402048,0.715490755
14/07/12,2012.532787,NA,NA,NaN,0.729586683,0.715085595,0.7,0.72144052,0.715085595
15/07/12,2012.535519,NA,NA,NaN,0.729443026,0.714663084,0.73,0.721908197,0.714663084
16/07/12,2012.538251,NA,NA,NaN,0.729138631,0.714227912,0.76,0.721769916,0.714227912
17/07/12,2012.540984,199,0.79,0.694,0.72872793,0.713784768,0.79,0.722316134,0.713784768
18/07/12,2012.543716,NA,NA,NaN,0.727854697,0.713337542,0.7675,0.723302227,0.713337542
19/07/12,2012.546448,NA,NA,NaN,0.726281148,0.712886922,0.745,0.724488097,0.712886922
20/07/12,2012.54918,NA,NA,NaN,0.72423938,0.712432795,0.7225,0.726124374,0.712432795
21/07/12,2012.551913,203,0.7,0.677142857,0.721961487,0.711975051,0.7,0.727004575,0.711975051
22/07/12,2012.554645,NA,NA,NaN,0.719679566,0.711513577,0.71,0.727217604,0.711513577
23/07/12,2012.557377,NA,NA,NaN,0.717625713,0.711048262,0.72,0.726851231,0.711048262
24/07/12,2012.560109,NA,NA,NaN,0.716032024,0.710578992,0.73,0.725951579,0.710578992
25/07/12,2012.562842,207,0.74,0.675625,0.715130594,0.710105657,0.74,0.725262577,0.710105657
26/07/12,2012.565574,NA,NA,NaN,0.714828703,0.709628145,0.7175,0.724722078,0.709628145
27/07/12,2012.568306,NA,NA,NaN,0.71482801,0.709146343,0.695,0.724272181,0.709146343
28/07/12,2012.571038,NA,NA,NaN,0.715052181,0.708660141,0.6725,0.723859232,0.708660141
29/07/12,2012.57377,211,0.65,0.691333333,0.715424883,0.708169424,0.65,0.722501529,0.708169424
30/07/12,2012.576503,NA,NA,NaN,0.715869782,0.707674083,0.675,0.720348139,0.707674083
31/07/12,2012.579235,NA,NA,NaN,0.716310545,0.707174005,0.7,0.717544452,0.707174005
01/08/12,2012.581967,NA,NA,NaN,0.716670837,0.706669078,0.725,0.714515787,0.706669078
02/08/12,2012.584699,215,0.75,0.679285714,0.716874326,0.70615919,0.75,0.712018732,0.70615919
03/08/12,2012.587432,NA,NA,NaN,0.716844677,0.705644229,0.7375,0.71012421,0.705644229
04/08/12,2012.590164,NA,NA,NaN,0.716505557,0.705124083,0.725,0.708906261,0.705124083
05/08/12,2012.592896,NA,NA,NaN,0.715780632,0.704598641,0.7125,0.707307583,0.704598641
06/08/12,2012.595628,219,0.7,0.69625,0.714593568,0.704067791,0.7,0.705198362,0.704067791
07/08/12,2012.598361,NA,NA,NaN,0.712859364,0.70353142,0.7175,0.702443968,0.70353142
08/08/12,2012.601093,NA,NA,NaN,0.710637597,0.702989417,0.735,0.698904958,0.702989417
09/08/12,2012.603825,NA,NA,NaN,0.708068805,0.70244167,0.7525,0.696138757,0.70244167
10/08/12,2012.606557,223,0.77,0.664375,0.705293523,0.701888066,0.77,0.694278126,0.701888066
11/08/12,2012.60929,NA,NA,NaN,0.702452286,0.701328495,0.74,0.693503137,0.701328495
12/08/12,2012.612022,NA,NA,NaN,0.699685632,0.700762844,0.71,0.694000657,0.700762844
13/08/12,2012.614754,NA,NA,NaN,0.697134096,0.700191001,0.68,0.694262667,0.700191001
14/08/12,2012.617486,227,0.65,0.689285714,0.694938214,0.699612854,0.65,0.6941745,0.699612854
15/08/12,2012.620219,NA,NA,NaN,0.692874466,0.699028291,0.66,0.69361639,0.699028291
16/08/12,2012.622951,NA,NA,NaN,0.690669947,0.698437201,0.67,0.692463476,0.698437201
17/08/12,2012.625683,NA,NA,NaN,0.688391117,0.697839471,0.68,0.691639222,0.697839471
18/08/12,2012.628415,231,0.69,0.663076923,0.686104436,0.69723499,0.69,0.691203651,0.69723499
19/08/12,2012.631148,NA,NA,NaN,0.683876365,0.696623646,0.675,0.691219054,0.696623646
20/08/12,2012.63388,NA,NA,NaN,0.681773362,0.696005326,0.66,0.691749983,0.696005326
21/08/12,2012.636612,NA,NA,NaN,0.679861889,0.69537992,0.645,0.691809837,0.69537992
22/08/12,2012.639344,235,0.63,0.674285714,0.678208405,0.694747314,0.63,0.690739881,0.694747314
23/08/12,2012.642077,NA,NA,NaN,0.67687937,0.694108268,0.65,0.688520012,0.694108268
24/08/12,2012.644809,NA,NA,NaN,0.675941244,0.693467027,0.67,0.685120501,0.693467027
25/08/12,2012.647541,NA,NA,NaN,0.675460487,0.692828704,0.69,0.682041609,0.692828704
26/08/12,2012.650273,239,0.71,0.648,0.675503559,0.692198416,0.71,0.680917914,0.692198416
27/08/12,2012.653005,NA,NA,NaN,0.676509131,0.691581276,0.70875,0.681695339,0.691581276
28/08/12,2012.655738,NA,NA,NaN,0.678714385,0.6909824,0.7075,0.684332827,0.6909824
29/08/12,2012.65847,NA,NA,NaN,0.681883544,0.690406903,0.70625,0.687586865,0.690406903
30/08/12,2012.661202,NA,NA,NaN,0.685780835,0.6898599,0.705,0.690618021,0.6898599
31/08/12,2012.663934,NA,NA,NaN,0.69017048,0.689346505,0.70375,0.69331559,0.689346505
01/09/12,2012.666667,NA,NA,NaN,0.694816706,0.688871834,0.7025,0.695568303,0.688871834
02/09/12,2012.669399,NA,NA,NaN,0.699483737,0.688441001,0.70125,0.69823671,0.688441001
03/09/12,2012.672131,247,0.7,0.668125,0.703935798,0.688059122,0.7,0.700522775,0.688059122
04/09/12,2012.674863,NA,NA,NaN,0.707937114,0.687731311,0.7,0.702680752,0.687731311
05/09/12,2012.677596,NA,NA,NaN,0.711251908,0.687462684,0.7,0.704963759,0.687462684
06/09/12,2012.680328,NA,NA,NaN,0.713644407,0.687258355,0.7,0.70608417,0.687258355
07/09/12,2012.68306,251,0.7,0.686,0.714878835,0.68712344,0.7,0.706207502,0.68712344
08/09/12,2012.685792,NA,NA,NaN,0.71500072,0.687063053,0.7,0.705245985,0.687063053
09/09/12,2012.688525,NA,NA,NaN,0.714293671,0.687082309,0.7,0.703101656,0.687082309
10/09/12,2012.691257,NA,NA,NaN,0.712879029,0.687186323,0.7,0.700962876,0.687186323
